FACTURA,FECHA_FACTURA,FECHA_VENCIMIENTO,MONTO ADEUDADO,diferencia_fechas
F40238,2023-02-24,2023-03-26,97485.94,30 days
F40353,2023-03-14,2023-04-13,97485.94,30 days
F40352,2023-03-14,2023-04-13,64916.21,30 days
F40217,2023-02-23,2023-03-25,52715.74,30 days
F40173,2023-02-17,2023-04-03,50639.8,45 days
F39979,2023-01-24,2023-03-25,49416.0,60 days
F40319,2023-03-08,2023-05-07,49416.0,60 days
F40082,2023-02-04,2023-02-04,48882.12,0 days
F40340,2023-03-13,2023-05-12,45216.34,60 days
F40351,2023-03-14,2023-05-13,45216.34,60 days
F40361,2023-03-14,2023-03-14,42880.05,0 days
F40118,2023-02-10,2023-03-12,37588.59,30 days
F40114,2023-02-09,2023-03-11,35143.82,30 days
F40171,2023-02-17,2023-03-19,34493.76,30 days
F39866,2023-01-05,2023-03-06,32886.0,60 days
F40330,2023-03-10,2023-03-10,30880.31,0 days
F39921,2023-01-13,2023-02-27,30276.0,45 days
F39934,2023-01-18,2023-03-04,30276.0,45 days
F40249,2023-02-27,2023-03-29,29642.92,30 days
F40347,2023-03-13,2023-05-12,29562.6,60 days
F40066,2023-02-01,2023-04-02,29197.72,60 days
F40227,2023-02-24,2023-04-10,26795.86,45 days
F40207,2023-02-22,2023-03-24,25670.22,30 days
F40148,2023-02-15,2023-04-16,23872.8,60 days
F40183,2023-02-20,2023-03-13,22956.4,21 days
F40252,2023-02-27,2023-03-14,21440.02,15 days
F39992,2023-01-25,2023-03-26,21179.28,60 days
F40214,2023-02-22,2023-03-24,20610.88,30 days
F40156,2023-02-16,2023-03-18,19301.82,30 days
F40211,2023-02-22,2023-03-24,17975.65,30 days
F39618,2022-11-23,2023-01-22,17579.52,60 days
F39859,2023-01-04,2023-02-03,17400.0,30 days
F40027,2023-01-30,2023-03-01,17271.23,30 days
F40035,2023-01-30,2023-04-04,16240.0,64 days
F40036,2023-01-30,2023-04-04,16240.0,64 days
F40197,2023-02-21,2023-04-07,15878.08,45 days
F40354,2023-03-14,2023-03-29,15843.28,15 days
F40296,2023-03-03,2023-03-03,13747.65,0 days
F40345,2023-03-13,2023-03-28,13086.19,15 days
F38837,2022-08-17,2022-11-15,12474.0,90 days
F40184,2023-02-20,2023-04-06,12057.04,45 days
F40025,2023-01-30,2023-03-01,11067.54,30 days
F40108,2023-02-08,2023-03-25,11019.94,45 days
F40320,2023-03-08,2023-04-07,10759.0,30 days
F36999,2021-12-23,2022-01-22,10565.28,30 days
F40228,2023-02-24,2023-04-10,10467.83,45 days
F40287,2023-03-01,2023-03-31,10440.0,30 days
F40213,2023-02-22,2023-03-24,10226.56,30 days
F38707,2022-07-29,2022-08-13,10092.0,15 days
F40328,2023-03-09,2023-03-09,9540.77,0 days
F40209,2023-02-22,2023-03-24,9472.53,30 days
F40253,2023-02-27,2023-03-29,9396.0,30 days
F38785,2022-08-10,2022-10-09,9032.92,60 days
F39811,2022-12-22,2023-01-21,8653.6,30 days
F40080,2023-02-02,2023-03-04,8653.6,30 days
F40317,2023-03-08,2023-04-07,8463.31,30 days
F40356,2023-03-14,2023-04-13,8266.67,30 days
F38996,2022-09-06,2022-11-05,8243.54,60 days
F36618,2021-11-09,2021-12-09,8190.46,30 days
F40147,2023-02-15,2023-03-17,7882.4,30 days
F39858,2023-01-04,2023-02-03,7714.0,30 days
F40350,2023-03-14,2023-04-13,7081.8,30 days
F40371,2023-03-15,2023-03-23,6840.66,8 days
F40149,2023-02-15,2023-04-16,6820.8,60 days
F40143,2023-02-14,2023-02-14,6612.0,0 days
F40346,2023-03-13,2023-03-21,6496.0,8 days
F40229,2023-02-24,2023-03-11,6438.19,15 days
F40224,2023-02-24,2023-03-26,6351.0,30 days
F40271,2023-02-28,2023-04-29,6264.0,60 days
F39150,2022-09-26,2022-10-26,6264.0,30 days
F40201,2023-02-22,2023-03-24,5967.85,30 days
F40379,2023-03-16,2023-03-31,5827.84,15 days
F39769,2022-12-14,2022-12-14,5800.0,0 days
F40215,2023-02-22,2023-03-24,5660.8,30 days
F40316,2023-03-08,2023-04-22,5502.81,45 days
F40208,2023-02-22,2023-03-24,5474.5,30 days
F40210,2023-02-22,2023-03-24,5443.47,30 days
F40300,2023-03-03,2023-04-17,5414.3,45 days
F40164,2023-02-16,2023-03-18,5373.1,30 days
F40301,2023-03-06,2023-04-05,5313.73,30 days
F40324,2023-03-09,2023-03-09,5253.51,0 days
F40212,2023-02-22,2023-03-24,4721.2,30 days
F40298,2023-03-03,2023-03-03,4640.0,0 days
F40182,2023-02-17,2023-02-17,4541.4,0 days
F40377,2023-03-16,2023-03-31,4512.28,15 days
F40359,2023-03-14,2023-03-14,4292.0,0 days
F40074,2023-02-02,2023-02-17,4173.62,15 days
F40168,2023-02-17,2023-03-19,4158.6,30 days
F40331,2023-03-10,2023-03-10,4080.3,0 days
F40255,2023-02-28,2023-03-30,4022.13,30 days
F40341,2023-03-13,2023-04-12,3971.93,30 days
F33924,2021-01-18,2021-01-18,3830.0,0 days
F37841,2022-04-06,2022-05-06,3480.0,30 days
F40101,2023-02-08,2023-03-10,3451.0,30 days
F39281,2022-10-11,2022-12-10,3399.38,60 days
F40344,2023-03-13,2023-03-13,3375.14,0 days
F40358,2023-03-14,2023-04-13,3368.64,30 days
F39871,2023-01-06,2023-02-20,3248.58,45 days
F40072,2023-02-02,2023-03-04,3183.04,30 days
F40226,2023-02-24,2023-03-26,3166.38,30 days
F40357,2023-03-14,2023-04-13,2756.16,30 days
F40362,2023-03-14,2023-03-14,2694.95,0 days
F40372,2023-03-15,2023-03-15,2526.48,0 days
F40338,2023-03-10,2023-03-10,2334.5,0 days
F40375,2023-03-16,2023-03-31,2256.14,15 days
F35926,2021-08-23,2021-08-23,2094.96,0 days
F38995,2022-09-06,2022-11-05,2088.0,60 days
F35927,2021-08-23,2021-08-23,2000.0,0 days
F40337,2023-03-10,2023-03-10,1949.38,0 days
F40216,2023-02-22,2023-03-24,1925.6,30 days
F40343,2023-03-13,2023-04-12,1827.0,30 days
F40342,2023-03-13,2023-03-13,1740.79,0 days
F40092,2023-02-07,2023-03-09,1740.0,30 days
F40355,2023-03-14,2023-03-14,1682.0,0 days
F40247,2023-02-27,2023-02-27,1682.0,0 days
F35700,2021-07-29,2021-08-28,1647.2,30 days
F40332,2023-03-10,2023-03-10,1608.15,0 days
NV00749,2023-01-16,2023-01-16,1479.0,0 days
F40333,2023-03-10,2023-03-10,1401.57,0 days
F40378,2023-03-16,2023-03-31,1390.72,15 days
F40103,2023-02-08,2023-02-08,1264.4,0 days
F39257,2022-10-06,2022-11-05,1229.95,30 days
F40144,2023-02-14,2023-02-14,1204.08,0 days
F40368,2023-03-15,2023-03-15,1179.95,0 days
F40380,2023-03-16,2023-03-16,1169.28,0 days
F40060,2023-01-31,2023-01-31,1095.85,0 days
F40062,2023-01-31,2023-01-31,1068.28,0 days
F40339,2023-03-13,2023-03-13,1015.0,0 days
