CVE_DOC,CVE_PEDI,CVE_CLPV,CVE_VEND,FECHA_DOC,FECHA_CANCELA,CAN_TOT,DOC_ANT,CANCELADO
D00501,PV00039,      1703,1.0,2019-09-30,,50994.00000000001,F29599,No
DEV0000000001,F29896,      1852,2.0,2019-10-09,,7125.9000000000015,F29596,No
DEV00002,F29604,      5149,2.0,2019-10-10,,2726.5200000000004,F29604,No
DEV00003,F29605,      3222,2.0,2019-10-10,,1363.2600000000002,F29605,No
DEV00004,F29616,       664,2.0,2019-10-10,,4232.25,F29616,No
DEV00005,PV00046/47,       664,2.0,2019-10-10,,10463.01,F29614,No
DEV00006,F29625,      6177,2.0,2019-10-16,,4135.700000000001,F29625,No
DEV00007,F29489,      4779,1.0,2019-10-17,2019-10-17,24408.0,F29489,Si
DEV00008,F29489,      4779,1.0,2019-10-17,,24408.000000000004,F29489,No
DEV00009,JOV0089,      5894,3.0,2019-10-31,,986.2500000000001,F29897,No
DEV00010,F29966,      6184,2.0,2019-11-04,,430.70000000000005,F29966,No
DEV00011,F30104,      3832,2.0,2019-11-05,,2235.3,F30104,No
DEV00012,F29953,      6805,3.0,2019-11-06,,1282.3500000000001,F29953,No
DEV00013,,      2507,3.0,2019-11-07,,371.02,F29991,No
DEV00014,F30057,      4695,1.0,2019-11-11,,3709.65,F30057,No
DEV00015,F29978,      3912,1.0,2019-11-11,,3240.0,F29978,No
DEV00016,F30057,      4695,1.0,2019-11-12,,5300.25,F30057,No
DEV00017,F29872,      6874,2.0,2019-11-14,,1120.6896000000002,F29872,No
DEV00018,F29936,      5478,4.0,2019-11-22,,5000.0,F29936,No
DEV00019,F30380,      3930,6.0,2019-12-04,,51450.00000000001,F30380,No
DEV00020,F30099,      3930,4.0,2019-12-04,2019-12-19,48480.0,F30099,Si
DEV00021,F30471,      3916,1.0,2020-01-07,,2191.0,F30471,No
DEV00022,F29880,      6253,4.0,2020-01-21,,21400.0,F29880,No
DEV00023,F30574,       466,1.0,2020-01-22,,1937.6000000000001,F30574,No
DEV00024,,      5926,3.0,2020-01-24,,690.5,F30657,No
DEV00025,F30497,      3930,4.0,2020-01-28,,51450.00000000001,F30497,No
DEV00026,F30514,       209,2.0,2020-01-31,,7471.275,F30514,No
DEV00027,F30622,       537,2.0,2020-02-11,,10731.6,F30622,No
DEV00028,F30964,      7023,5.0,2020-02-11,,4650.0,F30964,No
DEV00029,F29850,      1852,3.0,2020-02-11,,7125.9000000000015,F29850,No
DEV00030,F30302,       925,1.0,2020-02-20,,6783.000000000001,F30302,No
DEV00031,F29862,      5149,2.0,2020-02-28,,2726.5200000000004,F29862,No
DEV00032,F31105,      7050,2.0,2020-03-04,,350.0,F31105,No
DEV00033,F30511,      5331,3.0,2020-03-10,,6964.0,F30511,No
DEV00034,F30206,      3912,1.0,2020-03-11,,3240.0000000000005,F30206,No
DEV00035,F30692,      3912,1.0,2020-03-11,,1872.8220000000001,F30692,No
DEV00036,,       941,4.0,2020-03-20,,4722.1,F31110,No
DEV00037,F31241,      1583,3.0,2020-04-20,,12879.000000000002,F31241,No
DEV00038,F31294,      1583,2.0,2020-04-20,,1717.2,F31294,No
DEV00039,F31480,      1583,3.0,2020-04-20,,3132.0000000000005,F31480,No
DEV00040,F31662,      3926,1.0,2020-04-28,,1100.0,,No
DEV00041,PP00408,      1019,2.0,2020-04-28,,4978.5,F30413,No
DEV00042,F31864,      8085,,2020-06-04,,10500.0,F31864,No
DEV00043,F30864,      5165,1.0,2020-06-05,,12512.500000000002,F30864,No
DEV00044,F31631,         9,3.0,2020-06-12,,7400.000000000001,,No
DEV00045,F31887,      1339,5.0,2020-06-15,,5650.200000000001,F31887,No
DEV00046,F32092,      2385,5.0,2020-07-08,,23760.000000000004,F32092,No
DEV00047,F31970,      6850,5.0,2020-07-16,,2200.0,F31970,No
DEV00048,F31646,      1852,2.0,2020-07-20,,2386.5600000000004,F31646,No
DEV00049,F31645,      5644,3.0,2020-07-23,,4990.0,F31645,No
DEV00050,F32412,      3937,3.0,2020-08-06,,44251.950000000004,F32412,No
DEV00051,F30237,      3836,4.0,2020-08-06,,4500.0,F30237,No
DEV00052,F32328,      5644,3.0,2020-08-07,,4990.0,F32328,No
DEV00053,,      7088,2.0,2020-08-10,,3763.6544000000004,F31400,No
DEV00054,F31898,      1591,3.0,2020-08-14,,6400.000000000001,F31898,No
DEV00055,F32487,       455,,2020-09-02,,1901.7966000000001,F32487,No
DEV00056,PP01379,      1289,5.0,2020-09-03,,1397.0000000000002,F32655,No
DEV00057,F29801,      5068,2.0,2020-09-09,,3572.5,F29801,No
DEV00058,F32677,      2385,5.0,2020-09-18,,23340.000000000004,F32677,No
DEV00059,f32678,      2385,5.0,2020-09-18,,46680.00000000001,F32678,No
DEV00060,F32167,      4675,5.0,2020-09-22,,7413.000000000001,F32167,No
DEV00061,F32920,      8164,2.0,2020-10-02,,1655.4,F32920,No
DEV00062,PV00475,      1943,2.0,2020-10-05,,1944.7200000000003,F32922,No
DEV00063,F32638,      1583,6.0,2020-10-07,,11484.000000000002,F32638,No
DEV00064,F32641,        85,5.0,2020-10-08,,6578.36,F32641,No
DEV00065,F32490,      1453,2.0,2020-10-09,,1970.0000000000002,F32490,No
