,Fecha,TIPO GASTO,TC,TOTAL SAT
0,2022-01-01,ARRENDAMIENTO FINANCIERO,1.0,6439.6
1,2022-01-01,ARRENDAMIENTO FINANCIERO,1.0,6440.3
2,2022-01-01,COMISION BANCARIA,1.0,0.0
6,2022-01-01,MTTO COMPUTO,1.0,417.6
7,2022-01-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
8,2022-01-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
9,2022-01-01,ALIMENTOS,1.0,78.0
10,2022-01-01,NO DEDUCIBLE,1.0,3644.2
11,2022-01-01,NO DEDUCIBLE,1.0,399.0
12,2022-01-01,NO DEDUCIBLE,1.0,-389.0
13,2022-01-01,COMISION BANCARIA,1.0,0.0
14,2022-01-01,COMISION BANCARIA,20.4672,0.0
15,2022-01-01,COMISION BANCARIA,1.0,0.0
16,2022-01-01,HONORARIOS CONTABLES,1.0,5100.01
17,2022-01-01,CAPACITACION,1.0,5270.0
19,2022-01-01,HONORARIOS JURIDICOS,1.0,2990.09
20,2022-01-01,COMISION MIXTA,1.0,25776.61
22,2022-01-01,GASOLINA,1.0,10348.0
24,2022-01-01,ALIMENTOS,1.0,245.0
26,2022-01-01,MTTO COMPUTO,1.0,329.44
27,2022-01-01,MONITOREO CAMARAS ADT,1.0,1498.7
28,2022-01-01,ARRENDAMIENTO LOCAL,1.0,24786.66
29,2022-01-01,MEDICOS,1.0,417.6
30,2022-01-01,GASTOS IMPORTACION ,20.3977,371.2
31,2022-01-01,RENTA COPIADORA,1.0,0.0
34,2022-01-01,MTTO MAQUINARIA,1.0,12500.0
35,2022-01-01,TELEFONO,1.0,315.57
36,2022-01-01,TELEFONO,1.0,2066.1
37,2022-01-01,MONITOREO CAMARAS ADT,1.0,0.0
38,2022-01-01,GASOLINA,1.0,1334.28
40,2022-01-01,GASTOS IMPORTACION ,1.0,0.0
41,2022-01-01,MTTO COMPUTO,1.0,79.0
42,2022-01-01,DERECHOS,1.0,1434.0
45,2022-01-01,TELEFONO,1.0,0.0
46,2022-01-01,TELEFONO,1.0,0.0
47,2022-01-01,ALIMENTOS,1.0,156.0
51,2022-01-01,SUELDOS DIRECCION,1.0,55669.83
52,2022-01-01,SUSCRIPCIONES,1.0,8352.0
55,2022-01-01,ARRENDAMIENTO LOCAL,1.0,24786.66
56,2022-01-01,SEGUROS,1.0,-5319.18
60,2022-01-01,HONORARIOS JURIDICOS,1.0,1261.11
61,2022-01-01,MTTO COMPUTO,1.0,386.28
62,2022-01-01,COMISION MIXTA,1.0,10871.6
64,2022-01-01,ENERGIA ELECTRICA,1.0,4517.6
65,2022-01-01,MTTO OFICINA ,1.0,34800.0
67,2022-01-01,ALIMENTOS,1.0,399.0
68,2022-01-01,SUSCRIPCIONES,1.0,-224.1
72,2022-01-01,TELEFONO,1.0,263.1
75,2022-01-01,RENTA COPIADORA,1.0,2320.0
79,2022-01-01,GERENCIA ADMON,1.0,28600.0
80,2022-01-01,ALIMENTOS,1.0,78.0
81,2022-01-01,MEDICOS,1.0,3214.79
83,2022-01-01,MTTO MAQUINARIA,1.0,21460.0
