CVE_DOC,CVE_PEDI,CVE_CLPV,FECHA_DOC,FECHA_CANCELA,CAN_TOT,CANCELADO
NC00247,,6826,2019-09-10,2019-09-13,603.4480000000001,Si
NC00248,,5437,2019-09-11,,431.03440000000006,No
NC00249,,1240,2019-09-11,2019-09-18,4135.0,Si
NC00250,,4889,2019-09-12,,258.62,No
NC00251,F29452,6834,2019-09-19,,919.4560000000001,No
NC00252,F29447/ANT-5041,5926,2019-09-19,,852.267,No
NC00253,F29448,6833,2019-09-23,,517.2410000000001,No
NC00254,F29566,6844,2019-09-27,,43103.448200000006,No
NC00255,F29445,6278,2019-10-02,,258.62,No
NC00256,F29724,5926,2019-10-02,,623.75,No
NC00257,F29713,1083,2019-10-03,,4070.55,No
NC00258,F29709,4563,2019-10-03,,3662.76,No
NC00259,F29714,6322,2019-10-03,,8143.790000000001,No
NC00260,F29711,6576,2019-10-04,,3117.4482000000003,No
NC00261,F29729,5926,2019-10-04,,258.6206,No
NC00262,F29712,3806,2019-10-04,,3356.84,No
NC00263,F29646,5615,2019-10-04,,789.0000000000001,No
NC00264,F29723,6278,2019-10-04,,431.03440000000006,No
NC00265,F29730,5926,2019-10-07,,650.0,No
NC00266,F29726,5598,2019-10-07,,571.6379000000001,No
NC00267,F29721,6754,2019-10-07,,1267.8965,No
NC00268,F29725,5926,2019-10-08,,498.27580000000006,No
NC00269,f29710,5926,2019-10-08,,5255.25,No
NC00270,F29733,5926,2019-10-09,,7512.000000000001,No
NC00271,F29708,5493,2019-10-09,,2700.0,No
NC00272,F29706,2325,2019-10-09,,6737.198200000001,No
NC00273,F29787,6864,2019-10-10,,2370.0,No
NC00274,f29727,5523,2019-10-10,,1288.7931,No
NC00275,F29732,5926,2019-10-11,,862.0689000000001,No
NC00276,F29694,6847,2019-10-14,,6300.73,No
NC00277,F29717,3455,2019-10-14,,3713.5948000000003,No
NC00278,F29722,5926,2019-10-16,,1724.14,No
NC00279,F29716,5881,2019-10-16,,5570.646500000001,No
NC00280,ANT,5926,2019-10-18,,636.5500000000001,No
NC00281,F29705,4802,2019-10-18,,299.44,No
NC00282,F29731,5926,2019-10-24,,332.76000000000005,No
NC00283,F30023,3886,2019-10-29,2020-06-24,4968.6,Si
NC00284,F29931,6885,2019-10-30,,431.03440000000006,No
NC00285,F30116,5926,2019-11-06,,3879.3100000000004,No
NC00286,F30113,6898,2019-11-07,,1050.4,No
NC00287,F30112,2357,2019-11-07,,6196.5,No
NC00288,29707,5926,2019-11-07,,11190.000000000002,No
